word,cityNumber,word_central_lon,word_central_lat,radius,median,shopNumberLessThanMedian,shopNumberLargerThanMedian,largestDistance,avgDistance,word_ratio
mussels,15,-2.513443632518299,54.46393102083581,532442.9594633848,304020.14,9,27,628940.0,327204.94,0.17
cod roe,15,-1.0847746963171285,52.400232178345746,495390.7267179799,239377.62,24,9,596499.28,238907.52,0.58
breast,15,-2.7928639192923606,53.86771856575368,578579.12196608,374795.55,9,9,717748.82,356619.07,0.11
potatoes,15,-2.5424880475379865,54.90561697375305,454590.40926222777,255736.06,13,13,686735.53,281495.08,0.35
pounder burger,15,-2.775748948729096,54.76436563276701,577060.6248088045,257654.88,15,10,603956.84,291695.42,0.32
email sms,15,-1.7633450077885466,53.79762938080415,537045.0217331965,244475.7,15,13,657939.92,263346.86,0.36
mozzarella sticks,15,-2.7069396092843503,54.413198038830814,546111.4135289672,330963.67,9,16,728248.95,347582.67,0.2
fries,15,-2.0116795201660627,53.286848972180515,528745.498065924,154585.0,8,9,857560.43,274611.39,0.47
profile page,15,-1.7633450077885466,53.79762938080415,537045.0217331965,244475.7,15,13,657939.92,263346.86,0.36
tomatoes,15,-2.2654269970134866,53.78622429990777,574885.5679564148,415027.73,9,10,759959.34,359774.47,0.21
margherita pizza,14,-2.3176148446481863,54.16273291988309,394429.15181915276,287156.85,9,11,666733.82,278575.23,0.4
collection mins,14,-1.748322558309209,53.93053561875608,415210.93958011747,213025.93,11,10,633021.16,262117.69,0.48
salads,14,-1.7765833815198204,53.392828665123155,517029.11195986357,308281.02,9,8,733601.5,295022.99,0.41
hours,14,-1.7136521785333343,53.326976876838934,623952.2067195784,335265.41,13,12,681458.57,319039.9,0.48
kids sausage,14,-2.603749575778397,54.205347726725506,499461.67923099425,340392.05,15,13,582471.43,330422.14,0.36
vinegar,14,-1.6000968762887682,53.633643758612465,521798.8029004859,203718.6,15,16,570688.66,226925.3,0.48
fish cakes,14,-2.907604473872653,55.01695372423615,723208.437829764,294356.83,15,9,923270.86,401824.04,0.13
diet pepsi,14,-2.4944698789123114,54.157506469087195,498707.106211941,201662.14,12,11,674116.24,288185.53,0.52
spam fritter,14,-1.7261949314563492,54.134280778965106,476899.08414321893,166323.24,14,14,733800.47,223157.28,0.61
pasties,14,-1.8689040220012514,52.475994237254014,369152.6130522086,214503.06,21,9,599784.31,210251.57,0.63
donner pizza,14,-2.5586007904322723,54.7012446337575,445121.09549270326,284350.98,15,11,577865.03,303728.77,0.27
farmhouse,14,-2.460112804186757,53.89596756913745,504595.6330265145,286085.27,8,9,628102.53,333103.72,0.24
fish bites,14,-1.9447257012288899,54.08281237244337,497993.13190484897,156047.64,18,18,515758.56,219615.83,0.58
lettuce,14,-2.474705496364161,53.754153871325066,605269.3365596622,333594.38,9,9,711356.3,343811.52,0.28
chicken strips,14,-2.437127603615156,53.59578741815285,481750.1627400206,235904.2,9,10,481750.16,247364.84,0.21
touchsuccess allergy policies,14,-1.773373927784407,53.85329373244926,526616.4169247056,225635.79,15,12,647407.38,262957.77,0.41
toy,14,-2.2639845801061567,53.929431320236176,677097.7554444391,218773.63,10,9,751092.71,292991.01,0.42
gift,14,-1.764697020937526,53.8511076032761,527260.4633617288,226238.41,16,12,647873.34,262870.84,0.32
order type selection,14,-1.773373927784407,53.85329373244926,526616.4169247056,225635.79,15,12,647407.38,262957.77,0.41
cockles,14,-2.043293974175967,53.263681450068965,651998.8283604964,307436.14,20,8,860691.37,369462.12,0.43
tel,14,-2.2043897345551486,54.34569848333903,661370.3499372117,351699.3,7,9,754519.47,361556.9,0.31
kids fingers,13,-2.033314815758471,54.06516071722784,480881.97586545814,187209.18,7,9,606401.22,237799.12,0.56
email,13,-1.482009490244451,53.63618585701285,485793.76098885754,255265.3,11,7,526561.86,274754.89,0.5
sundries,13,-1.8083029401067876,54.08547590247334,439444.25453038904,181717.65,14,11,483232.21,250560.19,0.6
orange l,13,-2.52845561912901,53.81690423977787,439867.5196446767,257310.07,6,13,574089.11,277335.33,0.16
