word,cityNumber,word_central_lon,word_central_lat,radius,median,shopNumberLessThanMedian,shopNumberLargerThanMedian,largestDistance,avgDistance,word_ratio
thin,11,-2.472876098350816,53.94470278052021,519252.78532185825,236369.71,7,7,598939.81,285998.38,0.36
funghi,11,-2.3856859226407674,55.01354537338657,250497.65427599536,153808.38,9,11,326430.43,176748.19,0.5
including,11,-1.8636451322172416,53.69455265924381,431035.06470619276,159114.66,8,6,482953.17,190132.48,0.64
sustainable,11,-2.1088068327573883,53.3058484894553,655043.6062739663,353432.61,8,6,851127.31,352501.9,0.43
back,11,-1.9823060531024925,52.79738236918289,583788.9217599264,375039.56,8,6,843091.46,400218.84,0.21
bit,11,-2.100681599771823,52.760238983917866,291101.6886898086,202285.23,12,9,353721.81,205308.12,0.67
samosa,11,-1.8970291152931198,53.33968489064968,742969.618037782,154966.27,6,12,742969.62,239646.45,0.72
snicker,11,-2.0920394863115663,54.31343483606713,463103.97505999764,330681.4,7,8,676446.67,311234.76,0.33
prepared,11,-1.4848961198449984,52.883173167261084,601432.3682779846,218132.72,10,9,616894.96,284605.63,0.53
vegetables,11,-2.7587160399195785,54.50211512257976,534933.9430991961,286890.63,6,9,698574.09,319531.45,0.33
milkshak,11,-2.6137378447767157,54.47501523929498,623625.8181031513,242549.49,5,7,766886.47,309396.79,0.33
under,10,-1.6898529409077603,53.61541354428591,424267.16026027204,171966.85,9,5,506298.12,204522.17,0.64
soda,10,-3.078042152655476,54.44062234469679,352077.20239654,277993.34,6,13,352077.2,261176.75,0.26
boiled,10,-2.495931746904799,54.07022482607169,471404.60041928437,332211.74,8,5,621762.68,309815.26,0.46
smokey,10,-2.3166486972431857,54.72332030975519,422784.6675310328,100741.63,10,6,443018.09,202694.0,0.75
old,10,-3.143651682498187,54.40817262355353,540607.2929597632,310673.47,6,6,803308.72,374453.98,0.08
corn,10,-2.2070482910230234,54.691583249556324,531887.7465580656,259251.46,8,6,634289.67,258471.02,0.5
dinner,10,-2.199888142479114,53.1748124198292,564127.0074930197,324727.63,9,6,871882.79,363942.75,0.47
people,10,-2.2123555183677306,54.261271674902964,385665.6007598662,183307.56,5,5,810993.08,275380.71,0.4
daily,10,-2.629152808911094,53.90622963113615,639147.2855527586,404590.72,10,8,731104.33,389090.17,0.11
ltd,10,-1.2776960851112569,53.4589558518424,379113.35996266484,278053.54,8,5,559724.51,249023.72,0.54
still,10,-2.3538874972337864,53.87440065518235,510102.6005722476,429704.6,9,6,737510.68,402935.85,0.27
name,10,-1.608950006850231,53.46599251318548,402499.905261096,267395.33,5,5,510190.12,257521.46,0.3
sat,10,-2.8798030312514777,54.05118773534804,580727.1748918161,290109.84,6,7,694337.04,324935.43,0.46
shot,10,-1.727580615500614,54.636298592120376,304505.5546210646,160588.02,15,7,898348.22,238491.39,0.82
toffee,10,-1.9202721378835688,53.77366885069587,537335.5378553731,405755.71,6,7,661691.09,381981.57,0.08
touch,10,-2.5574394538366576,54.53652438193778,622878.0829293216,288331.22,5,6,622878.08,293066.17,0.27
tortilla,10,-2.2107952459284754,53.54184363732592,556290.266060509,246325.98,5,6,688174.85,332642.59,0.45
where,10,-2.702451705981972,53.85436164522219,510086.16542201367,417402.76,8,5,719006.76,376200.02,0.31
choc,10,-2.628322743406787,54.183532313373,640426.8771005115,351218.07,6,7,685115.53,371982.65,0.23
area,10,-3.0968669762236773,52.46782294488824,506106.95354072703,294113.89,10,6,658507.13,344326.39,0.13
tasty,10,-2.039947833046966,53.89772060624379,417901.9624236239,196894.98,8,5,452153.74,235259.75,0.54
again,10,-2.917254920788761,53.68057773804439,541827.9291962753,332808.77,10,9,679921.86,334607.74,0.32
parmesan,10,-2.1124843902421024,54.86998369990252,243841.53839976082,141764.2,9,7,352605.9,159641.26,0.81
list,10,-3.702824249879622,54.08042587163418,619960.538604772,327944.1,12,5,727931.14,380756.23,0.0
experience,10,-1.896510646637454,52.898084872031454,549461.3760584492,264318.92,9,8,624665.78,291963.78,0.47
sandwich,10,-3.0031440495640744,54.01706393622775,466637.3071450815,326315.38,6,8,472809.57,323813.27,0.07
ask,10,-2.0730202228359684,53.5185317397241,691550.9851775519,343198.93,9,6,691550.99,313852.94,0.53
summer,10,-2.4868894503734076,55.05278309473971,608030.7829366851,352176.73,10,6,669181.55,357375.62,0.13
see,10,-1.6037845907396746,52.737398627614176,600962.5922054262,237724.86,11,8,665392.91,288756.82,0.58
blackcurrant,10,-2.5918465192519493,53.26441877768824,622869.2019632155,435296.85,5,6,758626.71,416961.35,0.18
rio,10,-2.4211304410969414,52.77973281891237,423480.7853962006,245389.7,9,5,452515.82,253643.63,0.5
triple,10,-2.2200586510115934,54.1869879948973,486221.19457277044,300160.21,5,7,649745.38,314358.67,0.25
per,10,-1.680679950652348,53.64603353229967,475829.2405103438,173656.4,7,6,733969.95,257329.24,0.62
long,10,-2.2980451828271686,53.415332801596364,662731.302882824,166462.77,8,6,662731.3,252236.72,0.57
ingredients,10,-1.8759163589863697,53.505289564889246,483240.9770266842,385064.88,10,6,495211.56,320334.95,0.31
nan,10,-2.1161389056404287,54.23253382394799,447867.1615572223,246506.29,5,7,684982.28,285250.27,0.33
include,10,-2.738145915969315,54.86839959073161,359503.2024171087,237972.02,8,7,633635.27,233566.49,0.53
indian,10,-2.308291658835744,53.37629765923632,603369.3846121369,416767.93,10,6,832576.14,402049.49,0.13
punch,10,-2.3613596951281264,54.436843983223675,390517.2100499474,309453.17,5,7,536416.08,279531.73,0.33
pancake,10,-1.0149121023197947,52.602999554796234,480485.7812335414,262618.51,10,5,682807.33,268264.85,0.53
next,10,-2.6523772109909225,53.74814993824331,498865.74130128935,272655.33,5,6,702540.65,314875.64,0.27
light,10,-2.566296268428193,54.57250850229707,374402.6486040678,295985.52,9,6,629510.51,302185.97,0.33
ale,10,-1.6689788863474835,52.36849395505806,448717.60562720126,232888.27,10,6,701944.05,271305.96,0.44
variety,10,-1.8104992702486244,52.321436440520145,528773.9171244185,257433.44,7,6,1034515.6,344899.14,0.38
tender,10,-1.9337973781855564,53.73221022881324,473188.5604239742,325954.58,5,5,544625.38,302340.73,0.4
various,10,-2.6007966144998327,54.108900493112934,387082.1436768232,264252.96,5,5,767971.42,310186.52,0.2
perfect,10,-2.839383598187893,53.62539254810566,492734.89618665515,396024.46,7,6,673374.93,391669.6,0.31
winning,10,-2.280884186435395,53.2950940102629,473470.6363764908,336304.35,7,6,520588.27,302022.12,0.38
seasoned,10,-1.1646604680553299,53.30227593380428,557070.7092651329,273532.26,6,5,600254.74,287558.54,0.45
layer,10,-2.3147594688353506,54.85444487465333,381485.3999821459,227645.35,7,8,667888.22,253738.93,0.47
