word,coordinations
hollandaise sauce,"53.79391,-1.75206 55.95206,-3.19648"
anns fry,"55.86515,-4.25763"
chicken cob,"52.9536,-1.15047 52.9536,-1.15047"
flavours list,"55.95206,-3.19648"
bradford,"53.79391,-1.75206 53.79391,-1.75206"
superstar burger,"53.48095,-2.23743"
gordons,"50.15201,-5.06654 55.95206,-3.19648"
tech,"51.62125,-3.94490"
quarter pounder burgers cheese tomato lettuce,"55.95206,-3.19648"
chicken chillies oregano peppers onion,"52.40656,-1.51217"
sausage supperpastie supper,"54.58333,-5.93333"
nutella pizza,"55.95206,-3.19648"
violet ice cream cone,"55.86515,-4.25763"
coca cola diet coke,"51.51279,-0.09184"
donner onions jalapenos,"53.79648,-1.54785"
kids meal,"50.83333,0.13333 51.48,-3.18 52.20765,0.13200 52.40656,-1.51217 52.40656,-1.51217 52.48142,-1.89983 52.63220,1.28925 52.6386,-1.13169 52.9536,-1.15047 52.9536,-1.15047 53.79391,-1.75206 53.79391,-1.75206 53.79648,-1.54785 54.57309,-1.23258 54.57309,-1.23258 54.58333,-5.93333 54.58333,-5.93333 54.77560,-1.58374 54.90465,-1.38222 54.90465,-1.38222 54.97328,-1.61396 54.99620,-7.30237 55.07216,-3.60218 55.86515,-4.25763 55.86515,-4.25763 55.86515,-4.25763 55.86515,-4.25763 55.86515,-4.25763 56.46913,-2.97489 57.14369,-2.09814 57.47908,-4.22398"
goujon,"52.9536,-1.15047"
glass bottle cola,"55.95206,-3.19648 55.95206,-3.19648"
kids chicken strips,"54.58333,-5.93333"
chaat masala,"52.6386,-1.13169"
touches,"52.48142,-1.89983"
ice cream tub half,"55.95206,-3.19648 55.95206,-3.19648"
salad bar,"52.63220,1.28925 52.9536,-1.15047"
shampoo milkshake,"53.7446,-0.33525"
