word,regional
cookies,"[0.5000000049998334, 0.49999999500016656]"
mozzarella cheese,"[0.5000000049998334, 0.49999999500016656]"
cheesecake,"[0.5000000049998334, 0.49999999500016656]"
milkshakes,"[0.5000000049998334, 0.49999999500016656]"
bread roll,"[0.5000000049998334, 0.49999999500016656]"
coke bottle,"[0.5000000049998334, 0.49999999500016656]"
inch margherita,"[0.5000000049998334, 0.49999999500016656]"
staff,"[0.5000000049998334, 0.49999999500016656]"
donner burger,"[0.5000000049998334, 0.49999999500016656]"
street,"[0.5000000049998334, 0.49999999500016656]"
portions,"[0.5000000049998334, 0.49999999500016656]"
masala,"[0.5000000049998334, 0.49999999500016656]"
pounder beef burger,"[0.5000000049998334, 0.49999999500016656]"
fruit shoot,"[0.5000000049998334, 0.49999999500016656]"
ingredients,"[0.5000000049998334, 0.49999999500016656]"
orange,"[0.5000000049998334, 0.49999999500016656]"
pitta bread,"[0.5000000049998334, 0.49999999500016656]"
fritter,"[0.5000000049998334, 0.49999999500016656]"
wine,"[0.5000000049998334, 0.49999999500016656]"
fish finger,"[0.5000000049998334, 0.49999999500016656]"
quarter pounder cheeseburger,"[0.5000000049998334, 0.49999999500016656]"
latte,"[0.5000000049998334, 0.49999999500016656]"
cod fish,"[0.5000000049998334, 0.49999999500016656]"
fritters,"[0.5000000049998334, 0.49999999500016656]"
chicken meal,"[0.5000000049998334, 0.49999999500016656]"
person,"[0.5000000049998334, 0.49999999500016656]"
diet coke bottle,"[0.5000000049998334, 0.49999999500016656]"
pounder cheese burger,"[0.5000000049998334, 0.49999999500016656]"
service times,"[0.5000000049998334, 0.49999999500016656]"
price,"[0.5000000049998334, 0.49999999500016656]"
family,"[0.5000000049998334, 0.49999999500016656]"
seafood pizza,"[0.5000000049998334, 0.49999999500016656]"
cheddar cheese,"[0.5000000049998334, 0.49999999500016656]"
facebook,"[0.5000000049998334, 0.49999999500016656]"
burger chips,"[0.5000000049998334, 0.49999999500016656]"
fishcakes,"[0.5000000049998334, 0.49999999500016656]"
chicken goujons,"[0.5000000049998334, 0.49999999500016656]"
ribs,"[0.5000000049998334, 0.49999999500016656]"
doner wrap,"[0.5000000049998334, 0.49999999500016656]"
inch meat feast,"[0.5000000049998334, 0.49999999500016656]"
strips,"[0.5000000049998334, 0.49999999500016656]"
peppers onions,"[0.5000000049998334, 0.49999999500016656]"
vegetables,"[0.5000000049998334, 0.49999999500016656]"
rubicon mango,"[0.5000000049998334, 0.49999999500016656]"
vimto l,"[0.5000000049998334, 0.49999999500016656]"
taste,"[0.5000000049998334, 0.49999999500016656]"
dish,"[0.5000000049998334, 0.49999999500016656]"
page,"[0.5000000049998334, 0.49999999500016656]"
coca cola,"[0.5000000049998334, 0.49999999500016656]"
inch bread,"[0.5000000049998334, 0.49999999500016656]"
relish,"[0.5000000049998334, 0.49999999500016656]"
award,"[0.5000000049998334, 0.49999999500016656]"
nuts,"[0.5000000049998334, 0.49999999500016656]"
chicken pakora,"[0.5000000049998334, 0.49999999500016656]"
lemonade,"[0.5000000049998334, 0.49999999500016656]"
quarter pounder chicken burger,"[0.5000000049998334, 0.49999999500016656]"
fish supper,"[0.5000000049998334, 0.49999999500016656]"
mineral water,"[0.5000000049998334, 0.49999999500016656]"
potato fritter,"[0.5000000049998334, 0.49999999500016656]"
pie chips,"[0.5000000049998334, 0.49999999500016656]"
diet,"[0.5000000049998334, 0.49999999500016656]"
shot,"[0.5000000049998334, 0.49999999500016656]"
cookie dough,"[0.5000000049998334, 0.49999999500016656]"
king rib,"[0.5000000049998334, 0.49999999500016656]"
