word,regional
fish,"[0.9448151620789068, 0.055184837921093174]"
deal,"[0.9451718853761106, 0.05482811462388938]"
dog,"[0.9452218000954062, 0.05477819990459375]"
chicken tikka kebab,"[0.9459443335612906, 0.054055666438709356]"
coke,"[0.946139917304009, 0.05386008269599094]"
toggle navigation,"[0.9461491619958075, 0.0538508380041925]"
mayo,"[0.9470600935209399, 0.05293990647906014]"
kebabs,"[0.9471033907822264, 0.05289660921777358]"
vegetables,"[0.9474035425652138, 0.05259645743478629]"
pizza,"[0.9475219557910569, 0.05247804420894305]"
half chicken,"[0.94753440128649, 0.052465598713509955]"
deals,"[0.9476600349140595, 0.05233996508594055]"
portion,"[0.9478666118711105, 0.05213338812888947]"
pineapple fritter,"[0.948389297881927, 0.05161070211807299]"
dip,"[0.9488328855269279, 0.051167114473072144]"
pizzas,"[0.9489645657794467, 0.0510354342205533]"
chips,"[0.9490132739927245, 0.05098672600727547]"
can,"[0.9491509013641133, 0.05084909863588674]"
delivery times,"[0.9493322945002363, 0.05066770549976375]"
burgers,"[0.9497988520267372, 0.05020114797326278]"
peppers onions,"[0.9498146814756973, 0.05018531852430274]"
sausage,"[0.9501655609909406, 0.04983443900905933]"
chip shop,"[0.9503729851027058, 0.049627014897294174]"
dishes,"[0.9510078506516803, 0.04899214934831972]"
lettuce,"[0.9510102241844159, 0.04898977581558406]"
pie,"[0.9515868516399868, 0.048413148360013175]"
box,"[0.9517310818153396, 0.048268918184660434]"
opening,"[0.952359926513559, 0.04764007348644091]"
chilli,"[0.9523965339546014, 0.04760346604539856]"
onion,"[0.9524656860056508, 0.04753431399434921]"
farmhouse,"[0.9538065191595537, 0.04619348084044624]"
cheese,"[0.9542569556093747, 0.04574304439062523]"
lamb,"[0.9542950393918059, 0.045704960608194074]"
cocacola,"[0.9549210718533884, 0.04507892814661159]"
diet,"[0.9551287759117956, 0.04487122408820447]"
gravy,"[0.9553639201013453, 0.044636079898654674]"
tea,"[0.9559263208007878, 0.04407367919921219]"
potato,"[0.9562970461285483, 0.04370295387145175]"
pasta dishes,"[0.9565766396081667, 0.04342336039183329]"
kids meal,"[0.9567964570378488, 0.04320354296215128]"
chicken burger,"[0.9568157609509669, 0.043184239049033166]"
sides,"[0.9572226806666748, 0.04277731933332515]"
meal deals,"[0.9578157882488265, 0.04218421175117344]"
tel,"[0.9582462760336066, 0.04175372396639343]"
chicken nuggets,"[0.9583539046030939, 0.04164609539690608]"
cod bites,"[0.9595281914000828, 0.040471808599917204]"
batter,"[0.9601123740973713, 0.039887625902628704]"
desserts,"[0.9603743695272701, 0.03962563047272991]"
chicken wings,"[0.9607330241070797, 0.03926697589292029]"
mayonnaise,"[0.9607970559702013, 0.039202944029798695]"
eggs,"[0.9610159314918493, 0.038984068508150685]"
curry,"[0.9611690922694455, 0.038830907730554504]"
pineapple,"[0.9616668054446745, 0.03833319455532549]"
cheddar cheese,"[0.9620583360120156, 0.037941663987984355]"
quarter pounder cheeseburger,"[0.9621168820064262, 0.03788311799357381]"
sauce,"[0.9629390414317476, 0.03706095856825244]"
crispy,"[0.9630815274155459, 0.03691847258445411]"
cheesy,"[0.9630910835224349, 0.036908916477565105]"
drink,"[0.9636268671839793, 0.036373132816020726]"
flavour,"[0.9636756970351603, 0.03632430296483965]"
customers,"[0.9637329866692959, 0.03626701333070418]"
beef burger,"[0.9637450480792864, 0.03625495192071364]"
burger,"[0.9640417855889075, 0.03595821441109245]"
scampi,"[0.9644777827244405, 0.035522217275559466]"
fruit shoot,"[0.964490097500997, 0.035509902499002974]"
bread,"[0.9648561220394197, 0.03514387796058025]"
ribena,"[0.9652390929547469, 0.034760907045253156]"
tuna mayonnaise,"[0.9656446071786008, 0.03435539282139919]"
chicken fillet burger,"[0.965760399479389, 0.03423960052061105]"
food,"[0.965834998388741, 0.03416500161125901]"
mushrooms,"[0.9664316420759769, 0.03356835792402307]"
chocolate,"[0.9664992217662111, 0.033500778233788955]"
steak,"[0.9665574329884921, 0.033442567011507975]"
burger chips,"[0.9670371962803317, 0.032962803719668365]"
ltr,"[0.9671825484217391, 0.03281745157826083]"
chicken,"[0.9676855651286219, 0.032314434871378105]"
meal,"[0.9683905283641062, 0.03160947163589376]"
onion rings,"[0.9687522438878409, 0.031247756112159096]"
vimto l,"[0.9693034285854973, 0.030696571414502667]"
relish,"[0.9699705559503838, 0.030029444049616195]"
mussels,"[0.9699738857837209, 0.03002611421627909]"
mozzarella sticks,"[0.9710393973737299, 0.028960602626270055]"
cheeseburger,"[0.9711210822914922, 0.028878917708507788]"
chicken fillet,"[0.9712588291381367, 0.028741170861863344]"
tomatoes,"[0.9714482332989572, 0.028551766701042706]"
drinks,"[0.9714840759663405, 0.028515924033659594]"
ice cream,"[0.9717010327209221, 0.028298967279077852]"
fish supper,"[0.9720900788037433, 0.0279099211962567]"
chillies,"[0.972633954632569, 0.027366045367431084]"
side orders,"[0.9745671598221862, 0.025432840177813738]"
egg,"[0.9748257946943673, 0.02517420530563269]"
dips,"[0.9750570100446252, 0.024942989955374837]"
curry sauce,"[0.9752362983381623, 0.024763701661837747]"
coca cola,"[0.9752714291170235, 0.02472857088297655]"
milk,"[0.9776152263582976, 0.022384773641702434]"
road,"[0.9789081281548399, 0.021091871845160162]"
contact,"[0.9789161701485014, 0.021083829851498648]"
slices,"[0.9789873848049039, 0.02101261519509616]"
coleslaw,"[0.979240786682135, 0.020759213317865028]"
sausages,"[0.979506335061524, 0.020493664938476087]"
breast,"[0.9801989821088437, 0.019801017891156333]"
cream,"[0.9802281732358802, 0.0197718267641198]"
strips,"[0.9819191243669338, 0.018080875633066165]"
fishcakes,"[0.9828745366880349, 0.017125463311965083]"
family deal,"[0.982983432130664, 0.017016567869336023]"
chicken leg,"[0.9837198328561763, 0.016280167143823722]"
banana,"[0.9863351680244159, 0.013664831975584135]"
fish cakes,"[0.9866710945858482, 0.01332890541415176]"
fritter,"[0.9875861546326422, 0.01241384536735776]"
copyright,"[0.9883578231757891, 0.011642176824210863]"
bar,"[0.9914853352065324, 0.008514664793467679]"
street,"[0.9915619257228597, 0.008438074277140297]"
tub,"[0.9922291653902352, 0.0077708346097647785]"
roll,"[0.992311645075904, 0.007688354924096062]"
wine,"[0.9923865904830204, 0.007613409516979595]"
fish finger,"[0.9936576809431926, 0.0063423190568073365]"
