word,regional
opening,"[0.5256817650025732, 0.47431823499742676]"
thursday,"[0.5257883632675981, 0.4742116367324018]"
sunday,"[0.5272063432767534, 0.4727936567232466]"
pizzas,"[0.5282019968358909, 0.47179800316410914]"
plaice,"[0.5286361187838027, 0.47136388121619727]"
sauces,"[0.5288642578705286, 0.4711357421294714]"
pepper,"[0.5298107481434915, 0.47018925185650856]"
cans,"[0.5302780155843472, 0.4697219844156529]"
pineapple,"[0.5326201888534232, 0.46737981114657684]"
choice,"[0.534559680410351, 0.4654403195896491]"
extras,"[0.5362963991344398, 0.4637036008655601]"
friday,"[0.5366587835148143, 0.46334121648518567]"
pepsi,"[0.538486897784322, 0.46151310221567804]"
kids,"[0.5398597899011314, 0.46014021009886863]"
pepperoni,"[0.5410813213495546, 0.45891867865044544]"
beef,"[0.5431974043433412, 0.4568025956566588]"
haggis,"[0.543525206020875, 0.45647479397912505]"
drink,"[0.5459640101885903, 0.45403598981140975]"
pies,"[0.5469010349540607, 0.4530989650459393]"
onions,"[0.5470646833804225, 0.4529353166195776]"
kebab,"[0.5481454388419897, 0.4518545611580103]"
saturday,"[0.5495302121800161, 0.45046978781998387]"
tomato,"[0.5513066047113786, 0.44869339528862134]"
order,"[0.5527380746796637, 0.4472619253203362]"
kebabs,"[0.5530841153741, 0.44691588462590004]"
kids meals,"[0.554695512011774, 0.44530448798822597]"
peas,"[0.5568744130238799, 0.44312558697612014]"
mushrooms,"[0.5585819317462364, 0.4414180682537637]"
meat,"[0.5588338016884922, 0.4411661983115078]"
egg,"[0.5629944927764879, 0.43700550722351206]"
pizza,"[0.5634984313611526, 0.4365015686388473]"
chip,"[0.5845220132485371, 0.41547798675146286]"
mushroom,"[0.5869297997779428, 0.41307020022205715]"
haddock,"[0.5891670236857964, 0.4108329763142035]"
bottle,"[0.5919361721968153, 0.4080638278031847]"
fish cake,"[0.597410984986134, 0.40258901501386607]"
cod,"[0.5982907283330117, 0.4017092716669884]"
bread,"[0.5997313280892291, 0.4002686719107708]"
pie,"[0.6019621858993198, 0.39803781410068023]"
mushy peas,"[0.6041436712279853, 0.39585632877201476]"
burgers,"[0.6122930848344159, 0.3877069151655841]"
beans,"[0.6127391504694751, 0.38726084953052486]"
salad,"[0.617678289311455, 0.382321710688545]"
chicken burger,"[0.6217380650487032, 0.37826193495129673]"
scampi,"[0.6302388332914817, 0.3697611667085183]"
drinks,"[0.6342062340047592, 0.36579376599524077]"
onion rings,"[0.6400045246653048, 0.3599954753346952]"
burger,"[0.6423892136588468, 0.3576107863411532]"
chicken nuggets,"[0.6442707924630813, 0.3557292075369187]"
onion,"[0.6476350680542934, 0.3523649319457066]"
gravy,"[0.6508756264589215, 0.34912437354107856]"
steak,"[0.6587120898299297, 0.3412879101700704]"
menu,"[0.6650683647210418, 0.33493163527895825]"
cheese,"[0.6783661579457771, 0.3216338420542228]"
chicken,"[0.6897476943296514, 0.31025230567034856]"
curry,"[0.6944801002482742, 0.3055198997517258]"
sauce,"[0.6962068697496677, 0.3037931302503322]"
sausage,"[0.71178906328572, 0.28821093671427994]"
fish,"[0.7364527590168987, 0.26354724098310134]"
chips,"[0.7563069789172067, 0.2436930210827933]"
