word,regional
fish,"[0.888097556990311, 0.11190244300968907]"
half chicken,"[0.8880976542518851, 0.11190234574811471]"
service,"[0.8884601778842508, 0.11153982211574921]"
orange,"[0.8904249647443766, 0.10957503525562348]"
road,"[0.890790387462471, 0.1092096125375289]"
price,"[0.8908665361649284, 0.10913346383507154]"
contact,"[0.8911433852129758, 0.10885661478702431]"
curry,"[0.891161663290898, 0.10883833670910197]"
pitta bread,"[0.891214395455126, 0.10878560454487413]"
pizza,"[0.8912336401497553, 0.1087663598502446]"
chicken fillet burger,"[0.8912525024350083, 0.10874749756499168]"
gravy,"[0.891675807133499, 0.1083241928665008]"
house,"[0.8916898427677558, 0.10831015723224421]"
toppings,"[0.8919067885277862, 0.10809321147221378]"
beef burger,"[0.8929408475751307, 0.10705915242486919]"
steak,"[0.8931810112937235, 0.10681898870627646]"
chicken,"[0.8932742642988483, 0.10672573570115174]"
chillies,"[0.8933816392902105, 0.1066183607097895]"
ltr,"[0.8936536029935596, 0.10634639700644045]"
order,"[0.8937697295708512, 0.10623027042914882]"
sausage,"[0.8950748095035718, 0.1049251904964283]"
strips,"[0.8952499228968762, 0.10475007710312392]"
mozzarella sticks,"[0.8970345264523486, 0.10296547354765152]"
meal deal,"[0.8986453662663497, 0.10135463373365006]"
spices,"[0.899349837604342, 0.10065016239565792]"
cheese,"[0.8996035695253033, 0.10039643047469679]"
scampi,"[0.901399855570518, 0.09860014442948206]"
mushrooms,"[0.903041923923948, 0.09695807607605195]"
sauce,"[0.9031772936448933, 0.0968227063551068]"
chicken burger,"[0.9032022874499024, 0.09679771255009771]"
toggle navigation,"[0.903902401726438, 0.09609759827356198]"
chips,"[0.9046747080059764, 0.09532529199402347]"
chicken nuggets,"[0.9068992036856439, 0.09310079631435592]"
milk,"[0.9078620696014762, 0.09213793039852383]"
doner,"[0.9088965471711562, 0.09110345282884377]"
burger,"[0.9089621688830583, 0.09103783111694176]"
fruit shoot,"[0.9090582585691731, 0.09094174143082681]"
mayonnaise,"[0.9091582333448754, 0.09084176665512442]"
egg,"[0.9091847979000809, 0.0908152020999191]"
diet coke,"[0.9094334451616044, 0.09056655483839555]"
slices,"[0.9101238472705596, 0.08987615272944019]"
page,"[0.9106577654148021, 0.08934223458519802]"
pineapple,"[0.9134133340000149, 0.08658666599998509]"
dishes,"[0.9135218741558631, 0.08647812584413717]"
onion rings,"[0.9147716766699217, 0.08522832333007817]"
cheddar cheese,"[0.9147923362760498, 0.08520766372394988]"
family,"[0.9163776582455907, 0.08362234175440914]"
customers,"[0.9163897028944066, 0.08361029710559324]"
breast,"[0.916961921739882, 0.08303807826011823]"
