word,cityNumber,word_central_lon,word_central_lat,radius,median,shopNumberLessThanMedian,shopNumberLargerThanMedian,largestDistance,avgDistance,word_ratio
in your,21,-1.928703113992377,53.77783151274715,470862.5855221406,240058.73,27,17,660880.79,273712.06,0.5
sides,21,-2.592672639461281,54.02927293279636,615616.0628010217,324456.18,15,25,705912.31,336844.78,0.23
pineapple,21,-2.9243685658078147,54.807283093763,476682.4939396854,327506.72,32,15,806989.28,349489.37,0.15
want to,21,-1.8214291119084556,53.78349322749124,538045.141092327,244908.79,20,15,748588.43,300578.87,0.46
cheesy chips,21,-2.0333794935240967,53.335098535250424,512953.1453674125,306499.66,21,22,663978.88,300415.1,0.35
cans of,21,-2.001717327649383,53.854594198388945,520514.4935156345,245823.04,21,15,756691.95,304098.33,0.44
on a,21,-2.317706853797482,53.76838455025724,721029.7378616182,396652.97,17,19,721029.74,335789.6,0.31
small chips,21,-1.9011825965561804,54.0387917077724,506180.1090911701,219362.77,23,19,787149.66,300637.36,0.43
of the,21,-2.281034294691746,53.10087846584983,612526.3167385748,355652.07,18,23,882878.42,387923.43,0.22
on our,21,-1.924167091080024,53.73670286400662,485804.9509004694,238477.5,24,17,668627.6,288603.96,0.49
chips small,21,-2.5938825090143536,54.07884746599944,482347.4752102573,306984.5,18,34,665662.43,315334.32,0.21
chicken and,21,-1.9446606331682474,53.80417622594615,531141.7534433443,245287.46,27,13,767747.45,324584.79,0.42
steak pie,21,-2.934211501529402,55.11673724779091,533960.7028964334,368208.92,52,20,941244.82,382841.51,0.15
we can,21,-1.9604821697337937,53.817290313282776,590951.6138456762,247798.25,25,16,746895.24,318425.11,0.41
tomato sauce,21,-2.5612546558863043,54.733363566535864,481481.35524718906,269635.04,21,23,881863.8,323036.28,0.3
sauce,20,-2.45677928357572,54.167945177649116,453521.1579789838,294936.08,18,16,674102.17,297109.17,0.38
are served,20,-2.496769311063085,54.19781152047153,512414.3136270136,333962.41,12,10,582872.26,321022.58,0.36
you would,20,-1.9656860046797866,53.7057210246825,548754.1516687798,247979.43,21,15,674330.65,295693.49,0.42
any x,20,-1.721624303531984,54.11284743840241,441475.9834159964,252308.23,23,11,598783.29,271355.62,0.53
pieces of,20,-2.1526068478824643,53.587331040909625,497273.01811447984,249718.02,23,15,560866.14,269998.03,0.32
chicken with,20,-2.175629064805646,53.58328094175219,540726.0487795675,249411.11,22,14,799327.92,306433.74,0.36
plaice,20,-1.3800475440798958,52.2140009558866,448225.3689996471,267459.99,32,14,482305.87,256462.84,0.37
of your,20,-2.4672149025706696,53.99737740117888,527527.9092673738,303593.62,18,17,682824.5,341883.21,0.14
tomato,20,-2.761188580518517,54.592440578892074,580586.4220070116,329286.0,30,18,761852.22,353254.99,0.23
cola l,20,-2.560780882161768,53.966781803956195,461873.4674533116,303001.83,26,29,627090.1,319168.87,0.27
you to,20,-2.061794560478737,53.91046802382749,508834.26052691176,238469.17,23,14,757480.8,306028.87,0.27
delivery times,20,-2.6030629013147775,53.94893895626049,457857.01073074364,302222.85,28,29,644356.68,317632.57,0.21
special offers,20,-2.2335210780932244,54.24404389920078,460781.3471104733,296985.13,23,29,735036.39,298795.67,0.4
donner wrap,20,-1.8864163694470202,53.75844443545962,484624.5689805324,229762.07,15,23,664676.53,276219.58,0.29
we use,20,-1.7317334017961998,53.61576132312805,571022.6379478595,241914.64,21,17,692250.74,278854.67,0.47
are available,20,-2.1514943278746506,53.91153242516586,506740.6422552166,339712.31,23,15,753315.93,340563.5,0.24
burger meal,20,-2.6914282152540325,53.86585456764253,579943.3911084488,279038.41,18,21,647401.2,324186.68,0.21
have a,20,-1.790482819486923,53.96816579981991,625650.8255247686,209978.15,23,16,780886.79,293857.1,0.46
delivery,20,-2.147871987089903,54.00689288300142,489101.3949632978,243194.58,22,14,617415.57,294262.07,0.47
in batter,20,-2.4996509774284936,53.598933023744756,581253.7125496297,409893.05,16,21,695638.74,363610.84,0.22
chip butty,20,-1.7288161267971187,53.65365929469597,499686.2383659033,232250.01,28,20,568966.31,268551.79,0.42
a can,20,-2.4373223938944064,53.90535656279075,503129.9436180755,286549.64,18,15,637695.11,325448.95,0.27
pepperoni,20,-2.6198281662247265,54.94068410069482,596493.2566084114,252810.21,34,25,817160.88,313193.39,0.32
curry,20,-2.867728730724513,54.33097953771137,527003.1309255401,310121.35,16,20,614887.22,307156.97,0.33
with garlic,19,-2.2692941437236525,54.199913049757726,551085.1446780224,357589.04,14,12,650935.89,361049.65,0.23
small,19,-2.521004010430988,53.56998394828828,482331.0160098749,310636.08,14,15,604019.7,330970.52,0.28
any toppings,19,-2.5803515603046785,54.37512223272914,539772.7615618627,361490.24,19,11,715655.39,357990.76,0.3
note delivery,19,-2.539338552969172,53.87533945321477,445183.17023405555,278123.58,24,31,584666.71,292500.24,0.22
fish bites,19,-2.0251111580979524,53.82720899193868,457733.4522800842,189721.15,22,24,745263.89,250670.1,0.43
cans,19,-1.8993753900408386,53.61323518007752,691877.3536476964,269189.99,19,16,803301.08,329906.79,0.4
battered burger,19,-1.4741907151223586,53.38602087879368,423602.08718647884,280831.28,13,14,859292.74,301702.38,0.37
why don,19,-2.539338552969172,53.87533945321477,445183.17023405555,278123.58,24,31,584666.71,292500.24,0.22
try our,19,-2.624443212883299,53.80107430822555,438018.7962687914,272333.94,24,34,569174.88,288391.0,0.21
may vary,19,-2.5244760272695284,53.87380137215561,445164.430577713,276956.32,25,31,584696.46,292045.29,0.23
chicken curry,19,-2.7400349114021143,53.35747564323558,602872.6268249361,344251.16,18,19,742756.44,348625.44,0.24
you try,19,-2.539338552969172,53.87533945321477,445183.17023405555,278123.58,24,31,584666.71,292500.24,0.22
cheese and,19,-1.9109183115578454,53.92101585683884,510508.2255944343,253768.41,24,16,748268.64,307755.35,0.33
the best,19,-2.3613861261502227,52.760899363271065,628486.6460476541,290150.83,18,16,941808.0,356613.37,0.35
collection,19,-2.282719470419564,53.75195983853327,448275.308438851,241548.13,15,17,665795.46,290469.67,0.34
vegetarian,19,-2.1393334854799235,54.21109014067569,481835.21706536715,259952.52,17,26,687942.59,288530.54,0.3
times may,19,-2.539338552969172,53.87533945321477,445183.17023405555,278123.58,24,31,584666.71,292500.24,0.22
items in,19,-1.9522134811216898,54.16966891518265,463680.2032308199,244511.78,20,19,586756.36,274054.77,0.46
spring roll,19,-1.886571771546888,53.092474293636506,567164.2897176133,276916.37,27,18,592762.17,263119.87,0.58
we have,19,-1.9674286702757502,53.99431929559368,495584.4708232221,214616.42,18,18,622092.23,282856.94,0.42
salad,19,-2.3502155877730506,53.80616601398142,576302.0050829897,250665.23,15,21,725965.1,316723.94,0.25
before you,19,-1.8641939744461304,53.78560020280816,536545.5523224169,241772.35,19,15,659663.3,285769.05,0.47
chocolate fudge,19,-1.8832348988860954,53.62137446839349,566152.2668314326,259354.71,21,16,718647.34,306704.88,0.3
of soft,19,-2.3458288299450603,53.7544262403153,566939.9083509244,396912.79,13,16,763198.13,360490.13,0.17
your basket,19,-1.85537895918666,53.76897780304601,578032.6818882949,245407.66,23,14,777311.36,318359.7,0.38
t you,19,-2.539338552969172,53.87533945321477,445183.17023405555,278123.58,24,31,584666.71,292500.24,0.22
chips or,19,-2.03696917300167,53.36352563315999,586637.9124536337,301452.99,17,15,668344.29,309700.06,0.41
sauce and,18,-2.1470498882576066,54.45773649965414,531649.3911369416,308637.33,19,13,643541.54,316582.46,0.47
a bun,18,-1.9416273679337936,53.63464666269932,557677.8917881368,260643.85,14,11,687730.13,318061.75,0.28
home,18,-2.1424051526769277,53.16256875590479,517748.6572652626,333851.54,14,19,645212.4,329746.73,0.24
strongly advise,18,-2.0599349466238013,53.80507065214157,528360.1544008198,237514.84,21,13,655498.6,288343.5,0.47
small fish,18,-2.3586157748715144,54.4405702453175,554359.9494716664,265744.65,15,21,693868.36,276600.47,0.36
that could,18,-2.0599349466238013,53.80507065214157,528360.1544008198,237514.84,21,13,655498.6,288343.5,0.47
an allergy,18,-2.0599349466238013,53.80507065214157,528360.1544008198,237514.84,21,13,655498.6,288343.5,0.47
all served,18,-1.9205795534856185,54.05723211363762,503752.30832660606,211309.41,17,14,608181.05,290554.86,0.52
bbq chicken,18,-1.9550354387127469,53.881882198782826,470672.6243256309,235019.86,20,14,601927.36,276719.71,0.35
loading,18,-2.6637133754798215,54.160085796036626,477441.45450483705,252305.22,17,19,591703.61,290051.68,0.36
black pudding,18,-3.271942876473948,55.54936300791395,547659.9046577578,242103.9,50,15,601281.09,296312.78,0.66
kids meal,18,-2.2445575941404416,54.041666221795175,482231.859124078,290876.12,12,13,714602.95,320499.55,0.32
to receive,18,-1.818959178697657,53.66497703647406,559764.3860663595,227234.06,19,14,682526.22,262203.1,0.48
place your,18,-2.065846127878511,54.15686477519545,469079.41936453205,246142.54,23,18,588974.68,287621.54,0.46
agree to,18,-1.873161245456952,53.779488921235995,537436.6774016151,241662.92,22,13,660774.01,282556.98,0.51
your postcode,18,-1.8783676385859307,53.87162125364352,520416.1232907865,220002.79,18,14,643407.96,280614.6,0.47
tomato ketchup,18,-2.232213328476185,53.563979097259164,561066.3727692099,332261.13,12,10,690763.32,321397.44,0.27
allergy that,18,-2.0599349466238013,53.80507065214157,528360.1544008198,237514.84,21,13,655498.6,288343.5,0.47
to make,18,-1.9966852580966623,53.87411825329417,517031.42330572876,217426.37,18,15,642571.81,263510.31,0.48
and onion,18,-1.4720927569389521,53.71249697544793,473097.6986527015,236968.54,20,14,676488.09,277310.69,0.47
all rights,18,-2.4172670006105323,53.98330064720315,522454.028557836,249341.73,14,15,719522.1,314453.46,0.48
with fresh,18,-1.9297226681375996,53.531062244083365,487315.6746360093,275040.34,14,14,581628.54,272569.78,0.36
sprite l,18,-2.548011801086703,53.78530770941512,444290.8154343105,272482.02,16,17,661100.51,325379.24,0.09
cheeseburger,18,-2.601020420150789,54.25737179530879,509004.6152994084,338069.31,12,11,726768.31,346961.04,0.13
your health,18,-2.0599349466238013,53.80507065214157,528360.1544008198,237514.84,21,13,655498.6,288343.5,0.47
kebab large,18,-2.3185343049978737,54.199661294244095,506222.88447406597,334487.58,15,15,649729.4,332497.65,0.33
of drink,18,-1.9063433868466082,53.56264583087479,701325.325774027,410296.83,18,10,812033.29,394108.4,0.29
and sauce,17,-2.3352000865914317,54.39153926835981,542615.6413928948,300368.22,13,11,758932.38,316118.33,0.5
sure you,17,-1.8573595715736186,53.8102663947265,532204.5096454845,246428.87,18,12,751102.08,304723.18,0.43
margherita,17,-2.246640574271053,54.47308334197197,522832.0047827232,307026.34,20,13,558781.82,292873.53,0.52
or chicken,17,-2.543806467902694,54.27332343393434,432470.3298631703,325873.63,11,15,519325.5,284133.45,0.31
privacy policy,17,-1.681125991213755,53.67456714127404,561740.98214064,235277.79,16,14,681599.02,272825.43,0.43
please click,17,-1.8573595715736186,53.8102663947265,532204.5096454845,246428.87,18,12,655053.82,294970.35,0.43
a fish,17,-2.7663109505618233,54.15989467296334,498079.2456567234,351263.29,19,25,633747.75,347155.32,0.2
fudge cake,17,-1.5444373461642689,53.26056511433036,413276.79727374064,286806.19,17,10,681782.47,262190.58,0.63
to contact,17,-1.9889791091021254,54.109281792720516,473838.209311104,257539.73,20,12,598117.37,296552.75,0.41
mushrooms,17,-2.481215869399854,54.374588453116495,538752.6674154705,305000.99,11,20,819962.22,313981.22,0.29
a full,17,-1.9491210426463264,53.898797621496584,513629.05107900925,263130.43,19,12,638031.92,287279.95,0.39
health we,17,-2.0157615340964963,54.047526657495375,484568.6931191445,264064.61,18,12,609767.64,297045.04,0.43
pineapple fritter,17,-1.950453224167748,52.21596829520592,504154.5317938108,338762.65,22,10,949352.92,371644.36,0.31
rights reserved,17,-2.4043544998376003,53.95710418126848,517441.66989955906,283223.32,13,15,724678.24,324224.82,0.32
