word,cityNumber,word_central_lon,word_central_lat,radius,median,shopNumberLessThanMedian,shopNumberLargerThanMedian,largestDistance,avgDistance,word_ratio,regional
roe,15,-1.043721562533724,52.449688174068136,355658.5467713606,249022.52,31,11,605941.73,239904.54,0.62,Y
kidney,28,-1.5609870137643884,52.62918615061916,406675.54999139166,267359.51,59,26,588999.64,276080.76,0.52,Y
rock,5,0.12269934345367703,51.915425059689966,236430.15688208552,183829.35,11,4,321817.56,187158.81,0.8,Y
facebook,9,-1.3941109868060537,53.27337978076649,382333.36695656215,147057.25,8,5,642472.18,245023.95,0.69,Y
splash,7,-1.5300148796249524,54.191818679286555,235698.01642525988,137645.52,5,6,235698.02,135294.33,0.82,Y
suey,7,-1.8900097656228902,54.33451756237253,454997.5646077793,157787.09,10,7,685989.72,264548.1,0.88,Y
give,7,-2.2982696210705353,53.53630904436374,388339.1249548109,96679.16,6,6,388339.12,153958.25,0.75,Y
cucumber,9,-1.6202008439282027,52.7282502279937,418709.2697740457,196822.53,6,7,616550.71,211860.76,0.69,Y
macaroni,9,-3.6299398140750503,55.94751207052173,295360.00259129173,171925.44,20,7,475911.51,216582.62,0.81,Y
meaty,9,-1.5142069062301906,53.168117823627675,342322.42846900865,140025.97,6,5,600188.03,201883.84,0.82,Y
shot,10,-1.727580615500614,54.636298592120376,304505.5546210646,160588.02,15,7,898348.22,238491.39,0.82,Y
smokey,10,-2.3166486972431857,54.72332030975519,422784.6675310328,100741.63,10,6,443018.09,202694,0.75,Y
bit,11,-2.100681599771823,52.760238983917866,291101.6886898086,202285.23,12,9,353721.81,205308.12,0.67,Y
bolognese,14,-2.4826953456615315,55.04088741536107,421811.063252833,225396.02,27,12,666961.48,257546.21,0.49,Y
pasti,14,-2.0090208753819234,52.54832039050585,579356.740091824,220404.57,21,10,579356.74,211198.71,0.61,Y
plaice,26,-1.5357387081131502,52.436400373372095,467593.61424898665,252336.98,46,22,565011.18,274116.81,0.37,Y
samosa,11,-1.8970291152931198,53.33968489064968,742969.618037782,154966.27,6,12,742969.62,239646.45,0.72,N
smoked,15,-3.488262675120118,55.679747364115244,631791.3294728597,332415.18,48,13,868008.74,379872.43,0.64,N
lucozade,8,-3.0600134977186726,55.61819270874403,463390.27837706014,247111.01,10,4,837212.85,316956.1,0.64,N
enjoy,12,-1.4733490241200373,53.24026932802406,591058.9857798126,164040.09,9,7,646061.02,269030.99,0.63,N
supper,15,-3.8242151453229267,55.37549732434463,731144.9078727142,393745.3,44,13,922777.25,387295.02,0.6,Y
then,12,-2.263093474377984,53.97782895037848,467696.164414078,223335.24,9,6,513271.95,267122.4,0.6,N
see,10,-1.6037845907396746,52.737398627614176,600962.5922054262,237724.86,11,8,665392.91,288756.82,0.58,N
tandoori,17,-1.7081048259272222,53.35681899543743,559019.8335653384,269215.52,22,12,618677.91,278038.36,0.56,N
savoury,9,-2.4955594452997936,54.37108271760763,384414.51055612427,189009.85,7,8,497396.24,263200.5,0.67,N
cooki,13,-1.5375132939211662,53.08064973475268,358451.3395732558,133631.17,10,9,446136.48,211330.78,0.63,N
per,10,-1.680679950652348,53.64603353229967,475829.2405103438,173656.4,7,6,733969.95,257329.24,0.62,N
then,12,-2.263093474377984,53.97782895037848,467696.164414078,223335.24,9,6,513271.95,267122.4,0.6,N
